,min_heap,init_heap,max_heap,gc_name,entropy,complexity,dit,wmc,noc,cbo,rfc,lcom,ca,npm
90,32,64,160,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.120,1.4444444444
91,32,96,160,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.120,1.4444444444
92,32,128,160,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.121,1.4444444444
93,32,160,160,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.122,1.4444444444
94,32,16,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.121,1.4444444444
95,32,32,192,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.121,1.4444444444
96,32,48,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.122,1.4444444444
97,32,64,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.123,1.4444444444
98,32,96,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.122,1.4444444444
99,32,128,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.122,1.4444444444
100,32,160,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.123,1.4444444444
101,32,192,192,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.124,1.4444444444
102,32,16,224,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.123,1.4444444444
103,32,32,224,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.123,1.4444444444
104,32,48,224,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.124,1.4444444444
105,32,64,224,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.125,1.4444444444
106,32,96,224,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.124,1.4444444444
107,32,128,224,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.124,1.4444444444
108,32,160,224,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.125,1.4444444444
109,32,192,224,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.126,1.4444444444
110,32,224,224,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.125,1.4444444444
111,32,16,256,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.125,1.4444444444
112,32,32,256,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.126,1.4444444444
113,32,48,256,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.127,1.4444444444
114,32,64,256,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.126,1.4444444444
115,32,96,256,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.126,1.4444444444
116,32,128,256,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.127,1.4444444444
117,32,160,256,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.128,1.4444444444
118,32,192,256,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.127,1.4444444444
119,32,224,256,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.127,1.4444444444
120,32,256,256,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.128,1.4444444444
121,32,16,512,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.129,1.4444444444
122,32,32,512,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.128,1.4444444444
123,32,48,512,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.128,1.4444444444
124,32,64,512,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.129,1.4444444444
125,32,96,512,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.130,1.4444444444
126,32,128,512,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.129,1.4444444444
127,32,160,512,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.22222222219999999,3.1111111111,21.3333333333,14.777777777799999,3.129,1.4444444444
