index    prog_name    min_heap    init_heap    max_heap    gc_name
471    bh    192.0    64.0    64.0    UseG1GC
472    bh    192.0    16.0    96.0    UseG1GC
473    bh    192.0    32.0    96.0    UseG1GC
474    bh    192.0    48.0    96.0    UseG1GC
475    bh    192.0    64.0    96.0    UseG1GC
476    bh    192.0    96.0    96.0    UseG1GC
477    bh    192.0    16.0    128.0    UseParNewGC
478    bh    192.0    32.0    128.0    UseSerialGC
479    bh    192.0    48.0    128.0    UseParNewGC
480    bh    192.0    64.0    128.0    UseG1GC
481    bh    192.0    96.0    128.0    UseG1GC
482    bh    192.0    128.0    128.0    UseG1GC
483    bh    192.0    16.0    160.0    UseParNewGC
484    bh    192.0    32.0    160.0    UseConcMarkSweepGC
485    bh    192.0    48.0    160.0    UseParallelGC
486    bh    192.0    64.0    160.0    UseConcMarkSweepGC
487    bh    192.0    96.0    160.0    UseConcMarkSweepGC
488    bh    192.0    128.0    160.0    UseG1GC
489    bh    192.0    160.0    160.0    UseG1GC
490    bh    192.0    16.0    192.0    UseParNewGC
491    bh    192.0    32.0    192.0    UseSerialGC
492    bh    192.0    48.0    192.0    UseParallelGC
493    bh    192.0    64.0    192.0    UseParallelGC
494    bh    192.0    96.0    192.0    UseConcMarkSweepGC
495    bh    192.0    128.0    192.0    UseParallelGC
496    bh    192.0    160.0    192.0    UseConcMarkSweepGC
497    bh    192.0    192.0    192.0    UseG1GC
498    bh    192.0    16.0    224.0    UseConcMarkSweepGC
499    bh    192.0    32.0    224.0    UseConcMarkSweepGC
500    bh    192.0    48.0    224.0    UseConcMarkSweepGC
501    bh    192.0    64.0    224.0    UseConcMarkSweepGC
502    bh    192.0    96.0    224.0    UseConcMarkSweepGC
503    bh    192.0    128.0    224.0    UseConcMarkSweepGC
504    bh    192.0    160.0    224.0    UseSerialGC
505    bh    192.0    192.0    224.0    UseSerialGC
506    bh    192.0    224.0    224.0    UseSerialGC
507    bh    192.0    16.0    256.0    UseSerialGC
508    bh    192.0    32.0    256.0    UseConcMarkSweepGC
509    bh    192.0    48.0    256.0    UseConcMarkSweepGC
510    bh    192.0    64.0    256.0    UseConcMarkSweepGC
511    bh    192.0    96.0    256.0    UseConcMarkSweepGC
512    bh    192.0    128.0    256.0    UseConcMarkSweepGC
513    bh    192.0    160.0    256.0    UseSerialGC
514    bh    192.0    192.0    256.0    UseSerialGC
515    bh    192.0    224.0    256.0    UseSerialGC
516    bh    192.0    256.0    256.0    UseSerialGC
517    bh    192.0    16.0    512.0    UseConcMarkSweepGC
518    bh    192.0    32.0    512.0    UseConcMarkSweepGC
